367400220,2018-12-31T00:02:21,60.75506,-151.30739,0.4,-59.1,30.0,RESOLUTION,IMO7901966,WDE7994,90,0,58,12,3.7,79,B
367400220,2018-12-31T00:05:31,60.75475,-151.30696,0.2,128.2,51.0,RESOLUTION,IMO7901966,WDE7994,90,0,58,12,3.7,79,A
351925000,2018-12-31T00:09:03,57.92017,-151.41597,10.6,-62.2,344.0,GLOBAL TRINITY,IMO9590735,3FYR4,70,0,169,27,9.8,70,B
368017000,2018-12-31T00:08:33,61.11312,-146.40210,8.8,79.5,71.0,,,,,0,,,,,A
368015160,2018-12-31T00:09:16,61.12175,-146.34270,0.0,0.0,254.0,,,,,5,,,,,A
368066590,2018-12-31T00:09:37,61.22489,-149.90924,0.0,-163.7,122.0,,,,,0,,,,,B
367143770,2018-12-31T00:09:39,57.77795,-152.41367,0.0,-123.2,45.0,CAPE KIWANDA,IMO8034629,WDF3087,30,0,19,6,,30,B
367319530,2018-12-31T00:00:06,57.77877,-152.41036,0.0,-52.1,511.0,STELLA,IMO8958643,WDE2039,30,15,17,7,,30,B
367319530,2018-12-31T00:08:07,57.77877,-152.41036,0.0,-64.1,511.0,STELLA,IMO8958643,WDE2039,30,15,17,7,,30,B
367137170,2018-12-31T00:07:36,59.60499,-151.42181,0.0,-58.0,511.0,KATRINA EM,IMO7908213,WTK2245,30,0,25,8,,30,B
367137170,2018-12-31T00:01:45,59.60501,-151.42187,0.0,-67.7,511.0,KATRINA EM,IMO7908213,WTK2245,30,0,25,8,,30,B
367713260,2018-12-31T00:09:19,57.78688,-152.40940,0.0,-142.6,511.0,MISS BRITTA,,WDI5909,30,,,,,,B
367619640,2018-12-31T00:02:57,59.60477,-151.41999,0.0,-118.9,511.0,HELENKA B,,WDH4624,90,0,46,9,,,B
367619640,2018-12-31T00:04:06,59.60479,-151.42002,0.0,-112.9,511.0,HELENKA B,,WDH4624,90,0,46,9,,,B
367619640,2018-12-31T00:08:36,59.60477,-151.42000,0.0,-96.5,511.0,HELENKA B,,WDH4624,90,0,46,9,,,B
367186610,2018-12-31T00:00:03,61.22482,-149.90958,0.0,199.6,220.0,STELLAR WIND,IMO9096911,WBS2983,31,0,23,9,,,B
367186610,2018-12-31T00:04:01,61.22483,-149.90960,0.0,119.5,220.0,STELLAR WIND,IMO9096911,WBS2983,31,0,23,9,,,B
367186610,2018-12-31T00:05:12,61.22482,-149.90960,0.0,193.0,219.0,STELLAR WIND,IMO9096911,WBS2983,31,0,23,9,,,B
367186610,2018-12-31T00:07:30,61.22482,-149.90962,0.0,179.0,221.0,STELLAR WIND,IMO9096911,WBS2983,31,0,23,9,,,B
